,track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,key,mode,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
27,MOJABI GHOST,"Tainy, Bad Bunny",61245289,41,211,F#,Minor,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,1.5647198473200665,-0.4894072725792561,1.3537365234913945,-0.33204390704002984,1.1928477866395784,1.6963253380310943,0.02972705104974067,0.7143946961704009,0.8558516730942763,0.27898260380399315,-0.43870423247203844,-0.1352189508835078,2.473214457405955,-0.7453553484195634
31,TULUM,"Peso Pluma, Grupo Frontera",52294266,13,197,F#,Major,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,1.4615261447892656,-0.5776673260921471,1.0530840647500466,-0.5151047505760725,2.7050766903158885,0.7637436680011191,1.7417673751064027,-1.213239268496283,0.37718089491630463,1.4148727500238292,0.685349670309134,-0.1352189508835078,-0.5506766565317948,-0.6585312977849064
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",843957510,245,27,C#,Minor,1.2026257358937609,0.21575042158891,1.7040163874437368,-1.2215101210115564,0.28111936660495473,3.7589561934221787,0.6198724793473924,1.9887577359428994,3.0951978430760567,-0.8635113788928656,-0.056658889696272655,-1.6245332683733953,-0.4309487375834043,0.5504632019753933,-0.1352189508835078,-0.7522693974609781,-0.6585312977849064
34,TQG,"Karol G, Shakira",618990393,184,354,E,Minor,-0.5898592895097968,0.31609199953442124,-1.1758817187651704,0.9455576321352613,0.02035779197664926,1.8047152116034166,0.6442805918188649,1.4714162688957406,2.318046451384411,2.1883865900777058,0.020446468890394698,0.29014984433849156,-0.2889624693059248,1.9442900414240472,-0.1352189508835078,-0.6850718171512503,1.3384218668122048
36,Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",188933502,24,212,F#,Major,-0.5898592895097968,0.31609199953442124,-0.599902097523389,-0.7055416083575522,-0.5172397009214326,1.0530840647500466,-0.5273088068118088,1.1729500379069953,0.9191739463394484,1.0718385526494478,-0.8277124755629462,-0.6671917120174519,0.42096887208147266,0.5954253580866402,-0.1352189508835078,-0.5506766565317948,-0.8321793990542204
40,El Azul,"Junior H, Peso Pluma",354495408,6,62,A,Minor,-0.5898592895097968,0.31609199953442124,-1.1758817187651704,-0.3959605007651496,-0.5142629706174564,0.6021053766380245,-0.6371453129334345,1.1530522891744122,-0.013407723690526783,0.8485289451637964,-1.213239268496283,1.2910069259833417,-0.1469762010284453,-0.03404482747081634,-0.1352189508835078,-0.6178742368415225,-0.5717072471502495
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2808096550,843,69,D,Major,-0.5898592895097968,-0.18561589019313493,1.1280367662019553,-0.49915420329595045,2.9688091580649663,3.257868762186599,3.780723044403064,1.3520297765002425,0.1420225546478024,-1.1612575222070676,0.3288679032370641,1.5956156030056872,-1.2118732131095415,1.3597820119778374,-0.1352189508835078,-0.8194669777707059,-0.6585312977849064
42,I'm Good (Blue),"Bebe Rexha, David Guetta",1109433169,537,727,G,Minor,-0.5898592895097968,0.21575042158891,0.5520571449601739,1.2551387397276639,1.2405195435764484,3.3580862484337146,2.792194489308433,2.6851789415833056,6.514663966519299,0.2530366585353922,-1.213239268496283,-0.7107072373063584,2.1248040914112267,-0.8883257935845074,-0.1352189508835078,1.0620652709016718,-0.7453553484195634
43,See You Again,"Tyler, The Creator, Kali Uchis",1047101291,247,311,F#,Major,1.2026257358937609,-0.28595746813864614,0.2640673343392832,0.7391702270736596,1.3752165898313666,2.556346358456787,0.18052645486088986,0.1780626012778437,-0.32426828036718514,-1.5706584692640955,-1.213239268496283,0.159603268471772,-0.785914408277103,0.5954253580866402,-0.1352189508835078,-0.5506766565317948,-0.2244110446116214
48,Starboy,"The Weeknd, Daft Punk",2565529693,"2,445",140,G,Major,-0.5898592895097968,-0.3862990460841574,0.8400469555810646,0.7391702270736596,3.7787774737768602,3.307977505310157,2.6701539269510715,1.749984751151903,-0.32426828036718514,2.4116961975633573,-0.2879749654562747,-0.2320364591283867,-0.5729350058608838,-0.34877992024954463,-0.1352189508835078,-0.41628149591233926,1.3384218668122048
