,rank,name,scores_overall,record_type,url,location,stats_number_students,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,member_level,nid,stats_student_staff_ratio
15,16,University of Pennsylvania,91.0,private,/world-university-rankings/university-pennsylvania,United States,"21,312",22%,54 : 46,University of Pennsylvania,"Other Health,Physics & Astronomy,Accounting & Finance,General Engineering,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Biological Sciences,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Architecture,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Psychology,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Veterinary Science,Education,Chemical Engineering,Law,Business & Management,Computer Science,Communication & Media Studies",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-31733092,-1.30761856658619,2.66247773264884,-1.2497325346478454,2.4712926476909334,-1.3171862265458918,1.407344806228756,-1.2505777969056047,1.6448783494981538,-1.2836426310279179,0.40367530396271817,-0.4918486900101773,-0.2172370253921871,-0.5662309691283919,-1.5180580342760501
17,18,"University of California, Los Angeles",90.1,public,/world-university-rankings/university-california-los-angeles,United States,"42,634",15%,56 : 44,"University of California, Los Angeles","Electrical & Electronic Engineering,Veterinary Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Archaeology,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Medicine & Dentistry,Education,Law,Biological Sciences,Sport Science,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Civil Engineering,Other Health,Business & Management,Politics & International Studies (incl Development Studies),Geography,Accounting & Finance,Physics & Astronomy,Agriculture & Forestry,Sociology,Architecture,Languages, Literature & Linguistics,Computer Science,General Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-95508882,-1.301835211903752,2.5545997963869365,-1.2415863895122399,2.5710256698451732,-1.3244945171554805,1.334601681605011,-1.2196252475801912,1.3794128295999277,-1.1439577217288743,0.17321086663599689,-0.2997404865498785,-0.2172370253921871,-0.5662460800462242,-1.021650074224252
19,20,Cornell University,89.5,private,/world-university-rankings/cornell-university,United States,"23,620",24%,51 : 49,Cornell University,"Electrical & Electronic Engineering,History, Philosophy & Theology,Agriculture & Forestry,Chemistry,Biological Sciences,Economics & Econometrics,Business & Management,Civil Engineering,Architecture,Law,Archaeology,Mathematics & Statistics,Psychology,Veterinary Science,Sociology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Other Health,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Physics & Astronomy",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48987672,-1.296051857221314,2.5545997963869365,-1.2395498532283387,2.4259594558026425,-1.314750129676029,1.407344806228756,-1.2533916650260968,0.2536423841056002,-0.3427461665041723,0.7724184036854723,-0.736589277980147,-0.2172370253921871,-0.5662108212379489,-0.9632491377475698
20,21,University of Toronto,88.6,master_account,/world-university-rankings/university-toronto,Canada,"79,282",27%,56 : 44,University of Toronto,"Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Sport Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geography,Other Health,Computer Science,Psychology,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Law,Sociology,Languages, Literature & Linguistics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Physics & Astronomy,Medicine & Dentistry,Chemistry,Education,Archaeology,Agriculture & Forestry",False,False,False,https://www.timeshighereducation.com/student/register-interest/applyboard?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67051171,-1.2931601798800951,2.1123002577131333,-1.2232575629571278,2.6707586919994126,-1.3318028077650694,1.1163723077337737,-1.0873734459170608,1.5662218991579384,-1.2493802947847563,1.0131257048933813,-0.8760650969307748,-0.2172370253921871,-0.5662158582105595,1.3435878530813747
21,22,UCL,88.1,master_account,/world-university-rankings/ucl,United Kingdom,"41,110",61%,59 : 41,UCL ucl UCL,"Medicine & Dentistry,Sport Science,Law,General Engineering,Physics & Astronomy,Mathematics & Statistics,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Education,Architecture,Electrical & Electronic Engineering,Psychology,Other Health,Sociology,Biological Sciences,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Chemistry",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-15171793,-1.2902685025388763,2.16084532903099,-1.2273306355249305,2.3216931144595736,-1.3098779359363029,1.467964076748544,-1.2899719505924947,0.5387720165888796,-0.6379293710606415,1.3818688046161356,-1.176069688635899,-0.2172370253921871,-0.5662259321557811,-0.7734460941983528
22,23,University of Michigan-Ann Arbor,87.4,public,/world-university-rankings/university-michigan-ann-arbor,United States,"45,783",16%,51 : 49,University of Michigan-Ann Arbor,"Chemical Engineering,Accounting & Finance,Archaeology,Economics & Econometrics,Sociology,Psychology,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sport Science,Biological Sciences,Agriculture & Forestry,Civil Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Business & Management,Education,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Architecture,Chemistry,Medicine & Dentistry,Other Health,Art, Performing Arts & Design,Communication & Media Studies,Law",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-98611775,-1.2873768251976572,2.500660828255985,-1.235476780660536,2.3670263063478645,-1.3123140328061658,1.2800443381372015,-1.1886726982547777,0.8091535646333688,-0.8487745171724053,-0.0982250262154747,-0.0892109485111949,-0.2172370253921871,-0.5662208951831703,-1.24065358601181
23,24,Carnegie Mellon University,86.3,private,/world-university-rankings/carnegie-mellon-university,United States,"13,562",44%,44 : 56,Carnegie Mellon University,"Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Biological Sciences,Languages, Literature & Linguistics,Chemistry,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Chemical Engineering,Computer Science,Psychology,Mechanical & Aerospace Engineering,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-14763812,-1.2844851478564383,1.977452837385754,-1.2151114178215225,2.2400933690606495,-1.305005742196577,1.4861498579044812,-1.298413554953971,1.1336114222867557,-1.0411707129993897,0.7468112439825033,-0.712904704950795,-0.2172370253921871,-0.5662057842653381,-0.6858446894833297
24,25,University of Washington,85.3,public,/world-university-rankings/university-washington,United States,"49,486",16%,56 : 44,University of Washington,"Languages, Literature & Linguistics,Economics & Econometrics,Architecture,Art, Performing Arts & Design,Psychology,Mathematics & Statistics,General Engineering,Civil Engineering,History, Philosophy & Theology,Archaeology,Chemical Engineering,Education,Other Health,Law,Medicine & Dentistry,Mechanical & Aerospace Engineering,Sociology,Agriculture & Forestry,Chemistry,Geography,Accounting & Finance,Veterinary Science,Business & Management,Computer Science,Physics & Astronomy,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Electrical & Electronic Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-79008396,-1.2815934705152194,2.139269741778609,-1.2252940992410293,2.19022685798353,-1.2976974515869881,1.4437163685406293,-1.2843442143515105,0.6567566920992018,-0.7459875084429204,0.1168751152894653,-0.24447648281472406,-0.2172370253921871,-0.5661856363748949,-0.9486489036283994
25,26,Duke University,83.9,private,/world-university-rankings/duke-university,United States,"15,527",18%,52 : 48,Duke University,"Mechanical & Aerospace Engineering,Agriculture & Forestry,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Civil Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,Computer Science,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Communication & Media Studies",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-10310643,-1.2787017931740003,2.209390400348846,-1.2314037080927331,1.8547612380101777,-1.2684642891486329,1.3224778275010534,-1.213997511339207,1.757946996862213,-1.5050300344452698,0.19881802633896592,-0.32605667880471395,-0.2172370253921871,-0.5661957103201165,-1.8538634190169723
26,27,New York University,83.5,private,/world-university-rankings/new-york-university,United States,"48,461",42%,58 : 42,New York University,"Medicine & Dentistry,Mathematics & Statistics,Sociology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,General Engineering,Art, Performing Arts & Design,Communication & Media Studies,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Economics & Econometrics,Biological Sciences,Chemistry,Other Health,Civil Engineering,Accounting & Finance,Psychology,Computer Science,Chemical Engineering,Education,Law,Architecture",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-53177321,-1.2758101158327815,1.8803626947500414,-1.206965272685917,2.2128934539276752,-1.3001335484568513,1.243672775825329,-1.177417225772809,0.5486040728814067,-0.6511071926926267,0.5009825108340008,-0.5523759321962988,-0.2172370253921871,-0.5660899338952902,-0.7004449236025001
