,track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,key,mode,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,is_popular
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",141381703,45,826,B,Major,-0.5898592895097968,0.3160919995344212,0.2640673343392832,0.0168143093580537,-0.5349512462300903,6.715372037712102,-0.2344114571541403,4.257101091457365,1.0746042246777776,0.1413818547925664,0.6372893375837335,1.5085845524278745,1.1309002134688702,0.3256524214191588,-0.1352189508835078,-0.7522693974609781,-0.7453553484195634,True
1,Sprinter,"Dave, Central Cee",183706234,88,946,C#,Major,-0.5898592895097968,0.3160919995344212,-0.0239224762816075,-1.3247038235423572,-0.2919012169104425,3.909282422792853,0.058485892503528,3.262213654828213,2.162616173046082,0.7368741414209706,1.5625536406237417,0.5077274707830242,-0.6439281399996235,-0.2138934519158039,-0.1352189508835078,-0.7522693974609781,0.9911256642735768,True
2,Ella Baila Sola,"Eslabon Armado, Peso Pluma",725980112,43,418,F,Minor,-0.5898592895097968,0.3160919995344212,-0.8878919081442797,0.2232017144196554,-0.1573530071707232,1.8548239547269747,-0.344247963275766,3.4412933934214607,1.540895059692765,0.9974020168208976,-0.365080324042942,1.247491400694435,0.6339482744976919,1.0900090753103562,-0.1352189508835078,-0.7522693974609781,-0.8321793990542204,True
3,La Bebe - Remix,"Peso Pluma, Yng Lvcas",553634067,66,339,D,Minor,-0.5898592895097968,0.3160919995344212,-0.8878919081442797,0.3263954169504563,-0.1777436097529595,1.5541714959856263,-0.1611871197397232,1.2127455353721612,1.540895059692765,1.816203910934953,0.7143946961704009,0.0725722178939589,-1.353859481387021,-0.1239691396933101,-0.1352189508835078,-0.7522693974609781,1.7725421199854896,True
4,un x100to,"Bad Bunny, Grupo Frontera",505671438,54,251,F#,Minor,-0.5898592895097968,0.3160919995344212,-0.599902097523389,0.3263954169504563,-0.1892040214232674,1.3537365234913945,-0.2588195696256127,3.103031664967549,1.3854647813544358,-1.4217853976069943,-1.1361339099096155,0.0725722178939589,0.3499757379427329,-0.0340448274708163,-0.1352189508835078,0.5244846284238496,-0.6585312977849064,True
5,Classy 101,"Feid, Young Miko",335222234,54,187,B,Major,-0.5898592895097968,0.3160919995344212,-0.8878919081442797,1.7711072523816682,-0.2287945344661494,1.3537365234913945,-0.2344114571541403,1.013768048046331,1.6963253380310943,-0.7890748430643151,1.0999214891037377,0.5512429960719307,-0.0759830668897055,-0.4387042324720384,-0.1352189508835078,-0.483479076222067,0.2965332591963206,True
6,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",86444842,10,0,F,Minor,1.2026257358937609,0.3160919995344212,-0.0239224762816075,0.8423639296044605,-0.5678441160890261,0.6522141197615825,-0.6249412566976982,2.2673262181990617,0.1420225546478024,0.6996558735066953,-0.5192910412162768,1.4215535018500611,0.4919620062202124,-0.0790069835820632,-0.1352189508835078,1.5324483330697662,-0.7453553484195634,True
7,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",200647221,32,139,F,Minor,-0.5898592895097968,0.3160919995344212,-0.3119122869024982,1.7711072523816682,-0.4218354946789988,1.3537365234913945,-0.5517169192832811,2.048450982140648,1.2300345030161066,0.4391279981067685,1.0228161305170702,1.160460350116622,-0.0049899327509658,0.1008416408629243,-0.1352189508835078,-0.483479076222067,-0.6585312977849064,True
8,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",115364561,87,"1,093",C#,Major,1.2026257358937609,0.3160919995344212,-0.0239224762816075,-1.2215101210115564,-0.3277708170733544,3.708847450298621,0.1439142861536813,2.6453834441181394,1.6963253380310943,-0.8262931109785903,1.0228161305170702,1.247491400694435,0.0660032013877739,-0.7534393252507667,-0.1352189508835078,1.1292628512113996,0.6438294617349487,True
9,Calm Down (with Selena Gomez),"RÃ¯Â¿Â½Ã¯Â¿Â½ma, Selena G",899183384,318,96,B,Major,-0.5898592895097968,0.21575042158891,-0.8878919081442797,1.1519450371968631,0.4412674569588683,3.207760019063041,1.7060334843279128,1.3918252739654084,5.426652018150994,-0.5285469676643882,0.6372893375837335,1.2039758754055283,0.9179208110526508,0.8651982947541216,-0.1352189508835078,-0.3490839156026115,-0.7453553484195634,True
10,MOJABI GHOST,"Tainy, Bad Bunny",61245289,41,211,F#,Minor,-0.5898592895097968,0.3160919995344212,-0.0239224762816075,1.5647198473200663,-0.4894072725792561,1.3537365234913945,-0.3320439070400298,1.1928477866395784,1.6963253380310943,0.0297270510497406,0.7143946961704009,0.8558516730942763,0.2789826038039931,-0.4387042324720384,-0.1352189508835078,2.473214457405955,-0.7453553484195634,True
11,TULUM,"Peso Pluma, Grupo Frontera",52294266,13,197,F#,Major,-0.5898592895097968,0.3160919995344212,-0.0239224762816075,1.4615261447892656,-0.5776673260921471,1.0530840647500466,-0.5151047505760725,2.7050766903158885,0.7637436680011191,1.741767375106403,-1.213239268496283,0.3771808949163046,1.4148727500238292,0.685349670309134,-0.1352189508835078,-0.5506766565317948,-0.6585312977849064,True
